title of work,artist name,year(s) created
Saint Anthony Abbot,Taddeo Crivelli,about 1469
"Saint Anthony Abbot Blessing the Animals, the Poor, and the Sick",Master of St. Veronica,about 1400–1410
Saint Anthony Constraining a Devil,Unknown,about 1460
Saint Anthony Giving his Belongings to the Poor; Anthony Tormented by Demons; Anthony Burying Paul in the Desert; The Death and Burial of Saint Anthony,Master of the Brussels Romuléon,about 1465–1470
Saint Anthony of Padua,Taddeo Crivelli,about 1469
Saint Anthony of Padua,Unknown,about 1480–1490
Saint Anthony of Padua,Master of James IV of Scotland,about 1510–1520
Saint Anthony of Padua Preaching,Unknown,about 1460
Saint Anthony the Abbot,Andrea della Robbia,about 1510–1515
Saint Anthony with an Ax,Bedford Master,about 1440–1450
Saint Anthony with Bells and a Pig,Master of Jacques of Luxembourg,about 1466–1470
Saint Antoine,Bisson Frères,1861
Saint Apollonia,Master of Jacques de Besançon,about 1500
Saint Apollonia with a Book and Tongs,Master of Jacques of Luxembourg,about 1466–1470
Saint Augustine,Willem Vrelant,early 1460s
Saint Augustine in his Study Trampling the Heretics,Philippe de Champaigne,about 1642
Saint Avia,Unknown,about 1480–1490
Saint Barbara,Unknown,about 1480–1490
Saint Barbara,Master of Jacques de Besançon,about 1500
Saint Barbara,Willem Vrelant,early 1460s
Saint Barbara,Willem Vrelant,early 1460s
